SUPERNOVA,REDSHIFT,MOD_DIST,MOD_DIST ERR
03D4cx,0.949,434.449.098.532,0.284630783131
03D3cd,0.4607,420.716.665.463,0.18126245549
03D3ay,0.3709,416.692.043.983,0.154834006045
03D1fq,0.8,437.140.601.053,0.215165244047
03D1co,0.679,434.574.063.402,0.195969077309
03D1aw,0.5817,426.720.406.074,0.159803369147
04D4bq,0.55,422.756.470.464,0.15520464155
04D3ny,0.81,433.698.924.946,0.212685692189
04D3ml,0.95,439.766.075.066,0.291243768847
04D3kr,0.3373,412.944.909.521,0.137240588972
04D3gx,0.91,44.305.516.423,0.267241049423
04D3ez,0.263,406.346.721.186,0.134567832845
04D3cy,0.643,430.112.669.877,0.166369771753
04D2iu,0.691,430.887.669.301,0.253842244922
04D2fs,0.357,414.255.279.641,0.137721476533
04D1aj,0.721,431.756.783.825,0.187179852377
03D4gf,0.581,427.423.233.406,0.155462517843
03D4dh,0.6268,427.586.126.154,0.157227804978
03D4cn,0.818,433.928.941.721,0.26755880574
03D3cc,0.4627,420.422.849.962,0.14756880162
03D3aw,0.449,420.230.683.496,0.157063020734
03D1fl,0.688,430.539.860.347,0.165777265258
03D1cm,0.87,442.313.042.047,0.278817290376
03D1au,0.5043,423.382.006.953,0.149577507475
b010,0.591,432.091.059.677,0.306006112419
b013,0.426,417.615.774.796,0.22492067105
b016,0.329,413.402.567.282,0.269807401411
d058,0.583,424.011.253.659,0.28648393048
d084,0.519,43.071.509.714,0.314462491184
d085,0.401,416.954.244.654,0.229308722315
d086,0.205,399.037.694.347,0.217272003785
d087,0.34,412.131.787.728,0.228190770173
d089,0.436,418.800.161.997,0.21653394713
d093,0.363,41.551.975.686,0.208173297091
d097,0.436,419.257.693.002,0.228262759927
d117,0.309,411.737.957.091,0.235823875951
d149,0.342,413.845.981.768,0.21481032067
e020,0.159,394.163.640.953,0.242628007812
e029,0.332,412.554.783.013,0.239903276269
e108,0.469,423.544.812.112,0.28315240581
e132,0.239,402.591.287.799,0.204167929675
e136,0.352,41.423.779.352,0.224191540842
e138,0.612,42.813.940.944,0.283023414891
e140,0.631,423.773.831.209,0.244974123167
e147,0.645,428.169.731.662,0.234273129747
e148,0.429,418.900.388.123,0.215471389689
e149,0.497,420.757.738.154,0.221637712856
f011,0.539,422.266.632.084,0.241797816352
f041,0.561,428.719.504.017,0.306521908685
f076,0.41,413.474.933.283,0.256981142148
f096,0.412,414.237.121.884,0.312056381676
f216,0.599,427.434.648.961,0.382165112455
f231,0.619,43.056.018.637,0.247822481956
f235,0.422,417.283.094.576,0.230713845858
f244,0.54,425.111.635.186,0.282945441834
f308,0.401,425.546.203.602,0.369893982362
g005,0.218,400.754.074.212,0.222222737823
g050,0.633,422.016.724.827,0.259877853306
g052,0.383,416.420.339.038,0.251010174803
g055,0.302,413.107.982.848,0.272346550274
g097,0.34,410.800.432.546,0.231193988299
g120,0.51,418.806.853.688,0.226762461825
g133,0.421,421.360.316.298,0.322004955245
g142,0.399,414.880.817.606,0.292952212036
g160,0.493,421.469.146.695,0.2639575465
g240,0.687,429.963.850.785,0.285188798534
h300,0.687,428.348.351.217,0.272537782393
h319,0.495,422.486.633.669,0.232347965963
h323,0.603,426.462.047.067,0.278628902676
h342,0.421,421.796.277.538,0.233773507359
h359,0.348,415.896.262.003,0.217425302485
h363,0.213,40.109.041.203,0.22335261095
h364,0.344,411.728.711.166,0.209772839036
k396,0.271,405.323.020.705,0.21526700069
k411,0.564,423.728.917.486,0.292022400672
k425,0.274,407.246.506.476,0.208670920573
k429,0.181,396.828.885.172,0.227088514354
k430,0.582,431.639.102.562,0.325207917744
k441,0.68,429.040.344.577,0.290951926367
k448,0.401,419.356.323.131,0.332838743195
k485,0.416,415.575.369.467,0.303252121943
m027,0.286,412.111.308.437,0.25814462102
m034,0.562,430.505.225.945,0.33321544156
m043,0.266,403.907.073.912,0.250227167194
m062,0.314,412.319.680.355,0.242363893683
m138,0.581,43.668.679.767,0.391236930244
m158,0.463,41.947.753.754,0.26646445376
m193,0.341,409.915.138.593,0.224504319999
n256,0.631,428.818.252.933,0.234369669625
n258,0.522,426.773.303.466,0.24715086884
n263,0.368,414.676.952.372,0.207180966902
n278,0.309,408.607.746.451,0.214863256477
n285,0.528,423.696.918.414,0.302654151443
n404,0.216,404.049.089.433,0.21521177477
p455,0.284,408.353.825.838,0.206616021304
p524,0.508,421.942.707.319,0.231767202806
p528,0.781,434.372.295.515,0.321348684213
p534,0.613,426.167.095.942,0.260214469673
1999fw,0.278,405.662.405.695,0.198452987813
1999fn,0.477,420.543.351.554,0.183599933891
1999fm,0.95,436.383.176.075,0.297754710705
1999fk,1.057,441.506.301.001,0.238584685235
1999fj,0.816,436.910.828.816,0.457863421823
1999ff,0.455,423.239.322.721,0.229627540013
04Eag,1.02,443.629.247.027,0.220963762065
04Gre,1.14,44.322.957.093,0.228701029542
04Man,0.854,436.084.642.861,0.225569905838
04Mcg,1.37,45.049.713.349,0.262748449529
04Omb,0.975,443.337.254.974,0.21278060312
04Pat,0.97,444.626.016.974,0.291454456047
04Rak,0.74,432.875.467.038,0.198402487067
04Sas,1.39,448.762.343.403,0.250631965185
04Yow,0.46,421.484.496.113,0.210095497723
05Fer,1.02,441.640.655.276,0.232339527378
05Gab,1.12,445.144.054.871,0.224079094547
05Lan,1.23,450.206.757.228,0.235028400564
05Red,1.19,443.628.316.562,0.247108113742
05Spo,0.839,433.980.657.237,0.222124147444
05Str,1.01,449.121.378.293,0.33374861699
05Zwi,0.521,423.782.445.565,0.199332155448
2002dc,0.475,421.048.814.028,0.255958316646
2002dd,0.95,43.884.150.294,0.235845124417
2002fw,1.3,450.162.581.016,0.242719167821
2002hp,1.305,44.740.169.328,0.25954011501
2002kc,0.216,405.560.465.985,0.244099860655
2002kd,0.735,430.918.403.533,0.200575809439
2002ki,1.14,441.969.521.333,0.368403293803
2003aj,1.307,454.107.441.086,0.314696709568
2003az,1.265,44.944.110.841,0.235469959716
2003bd,0.67,431.432.095.538,0.209654285426
2003be,0.64,429.242.754.337,0.280114332269
2003dy,1.34,450.675.055.813,0.275015093127
2003eq,0.84,435.143.043.773,0.208697053243
2003XX,0.935,435.401.972.359,0.227616538358
